,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_Cat,FamilySize
0,0,3,1,1.0,1,0,7.25,2,5,2
1,1,1,0,2.0,1,0,71.2833,0,0,2
2,1,3,0,1.0,0,0,7.925,2,5,1
3,1,1,0,2.0,1,0,53.1,2,0,2
4,0,3,1,2.0,0,0,8.05,2,0,1
5,0,3,1,1.0,0,0,8.4583,1,5,1
6,0,1,1,3.0,0,0,51.8625,2,0,1
7,0,3,1,0.0,3,1,21.075,2,1,5
8,1,3,0,1.0,0,2,11.1333,2,5,3
9,1,2,0,0.0,1,0,30.0708,0,4,2
10,1,3,0,0.0,1,1,16.7,2,2,3
11,1,1,0,3.0,0,0,26.55,2,0,1
12,0,3,1,1.0,0,0,8.05,2,5,1
13,0,3,1,2.0,1,5,31.275,2,0,7
14,0,3,0,0.0,0,0,7.8542,2,4,1
15,1,2,0,3.0,0,0,16.0,2,0,1
16,0,3,1,0.0,4,1,29.125,1,1,6
17,1,2,1,1.0,0,0,13.0,2,5,1
18,0,3,0,1.0,1,0,18.0,2,0,2
19,1,3,0,1.0,0,0,7.225,0,5,1
20,0,2,1,2.0,0,0,26.0,2,0,1
21,1,2,1,2.0,0,0,13.0,2,0,1
22,1,3,0,0.0,0,0,8.0292,1,4,1
23,1,1,1,1.0,0,0,35.5,2,5,1
24,0,3,0,0.0,3,1,21.075,2,4,5
25,1,3,0,2.0,1,5,31.3875,2,0,7
26,0,3,1,1.0,0,0,7.225,0,5,1
27,0,1,1,1.0,3,2,263.0,2,5,6
28,1,3,0,1.0,0,0,7.8792,1,5,1
29,0,3,1,1.0,0,0,7.8958,2,5,1
30,0,1,1,2.0,0,0,27.7208,0,0,1
31,1,1,0,1.0,1,0,146.5208,0,5,2
32,1,3,0,1.0,0,0,7.75,1,5,1
33,0,2,1,4.0,0,0,10.5,2,3,1
34,0,1,1,1.0,1,0,82.1708,0,5,2
35,0,1,1,2.0,1,0,52.0,2,0,2
36,1,3,1,1.0,0,0,7.2292,0,5,1
37,0,3,1,1.0,0,0,8.05,2,5,1
38,0,3,0,1.0,2,0,18.0,2,5,3
39,1,3,0,0.0,1,0,11.2417,0,4,2
40,0,3,0,2.0,1,0,9.475,2,0,2
41,0,2,0,1.0,1,0,21.0,2,5,2
42,0,3,1,1.0,0,0,7.8958,0,5,1
43,1,2,0,0.0,1,2,41.5792,0,1,4
44,1,3,0,1.0,0,0,7.8792,1,5,1
45,0,3,1,1.0,0,0,8.05,2,5,1
46,0,3,1,1.0,1,0,15.5,1,5,2
47,1,3,0,1.0,0,0,7.75,1,5,1
48,0,3,1,1.0,2,0,21.6792,0,5,3
49,0,3,0,1.0,1,0,17.8,2,5,2
50,0,3,1,0.0,4,1,39.6875,2,2,6
51,0,3,1,1.0,0,0,7.8,2,5,1
52,1,1,0,3.0,1,0,76.7292,0,0,2
53,1,2,0,1.0,1,0,26.0,2,5,2
54,0,1,1,4.0,0,1,61.9792,0,3,2
55,1,1,1,1.0,0,0,35.5,2,5,1
56,1,2,0,1.0,0,0,10.5,2,5,1
57,0,3,1,1.0,0,0,7.2292,0,5,1
58,1,2,0,0.0,1,2,27.75,2,2,4
59,0,3,1,0.0,5,2,46.9,2,4,8
60,0,3,1,1.0,0,0,7.2292,0,5,1
61,1,1,0,2.0,0,0,80.0,2,0,1
62,0,1,1,2.0,1,0,83.475,2,0,2
63,0,3,1,0.0,3,2,27.9,2,2,6
64,0,1,1,1.0,0,0,27.7208,0,5,1
65,1,3,1,1.0,1,1,15.2458,0,5,3
66,1,2,0,1.0,0,0,10.5,2,5,1
67,0,3,1,1.0,0,0,8.1583,2,5,1
68,1,3,0,1.0,4,2,7.925,2,5,7
69,0,3,1,1.0,2,0,8.6625,2,5,3
70,0,2,1,1.0,0,0,10.5,2,0,1
71,0,3,0,0.0,5,2,46.9,2,5,8
72,0,2,1,1.0,0,0,73.5,2,5,1
73,0,3,1,1.0,1,0,14.4542,0,5,2
74,1,3,1,1.0,0,0,56.4958,2,0,1
75,0,3,1,1.0,0,0,7.65,2,5,1
76,0,3,1,1.0,0,0,7.8958,2,5,1
77,0,3,1,1.0,0,0,8.05,2,5,1
78,1,2,1,0.0,0,2,29.0,2,1,3
79,1,3,0,1.0,0,0,12.475,2,5,1
80,0,3,1,1.0,0,0,9.0,2,5,1
81,1,3,1,1.0,0,0,9.5,2,5,1
82,1,3,0,1.0,0,0,7.7875,1,5,1
83,0,1,1,1.0,0,0,47.1,2,5,1
84,1,2,0,1.0,0,0,10.5,2,5,1
85,1,3,0,2.0,3,0,15.85,2,0,4
86,0,3,1,0.0,1,3,34.375,2,5,5
87,0,3,1,1.0,0,0,8.05,2,5,1
88,1,1,0,1.0,3,2,263.0,2,5,6
89,0,3,1,1.0,0,0,8.05,2,5,1
90,0,3,1,1.0,0,0,8.05,2,5,1
91,0,3,1,1.0,0,0,7.8542,2,5,1
92,0,1,1,2.0,1,0,61.175,2,0,2
93,0,3,1,1.0,1,2,20.575,2,5,4
94,0,3,1,3.0,0,0,7.25,2,0,1
95,0,3,1,1.0,0,0,8.05,2,5,1
96,0,1,1,4.0,0,0,34.6542,0,3,1
97,1,1,1,1.0,0,1,63.3583,0,5,2
98,1,2,0,2.0,0,1,23.0,2,0,2
99,0,2,1,2.0,1,0,26.0,2,0,2
100,0,3,0,1.0,0,0,7.8958,2,5,1
101,0,3,1,1.0,0,0,7.8958,2,5,1
102,0,1,1,1.0,0,1,77.2875,2,5,2
103,0,3,1,2.0,0,0,8.6542,2,0,1
104,0,3,1,2.0,2,0,7.925,2,0,3
105,0,3,1,1.0,0,0,7.8958,2,5,1
106,1,3,0,1.0,0,0,7.65,2,5,1
107,1,3,1,1.0,0,0,7.775,2,5,1
108,0,3,1,2.0,0,0,7.8958,2,0,1
109,1,3,0,1.0,1,0,24.15,1,5,2
110,0,1,1,2.0,0,0,52.0,2,0,1
111,0,3,0,0.0,1,0,14.4542,0,4,2
112,0,3,1,1.0,0,0,8.05,2,5,1
113,0,3,0,1.0,1,0,9.825,2,5,2
114,0,3,0,1.0,0,0,14.4583,0,5,1
115,0,3,1,1.0,0,0,7.925,2,5,1
116,0,3,1,4.0,0,0,7.75,1,3,1
117,0,2,1,1.0,1,0,21.0,2,5,2
118,0,1,1,1.0,0,1,247.5208,0,5,2
119,0,3,0,0.0,4,2,31.275,2,1,7
120,0,2,1,1.0,2,0,73.5,2,5,3
121,0,3,1,1.0,0,0,8.05,2,5,1
122,0,2,1,2.0,1,0,30.0708,0,0,2
123,1,2,0,2.0,0,0,13.0,2,0,1
124,0,1,1,3.0,0,1,77.2875,2,0,2
125,1,3,1,0.0,1,0,11.2417,0,4,2
126,0,3,1,1.0,0,0,7.75,1,5,1
127,1,3,1,1.0,0,0,7.1417,2,5,1
128,1,3,0,1.0,1,1,22.3583,0,5,3
129,0,3,1,2.0,0,0,6.975,2,0,1
130,0,3,1,2.0,0,0,7.8958,0,0,1
131,0,3,1,1.0,0,0,7.05,2,5,1
132,0,3,0,2.0,1,0,14.5,2,0,2
133,1,2,0,1.0,1,0,26.0,2,5,2
134,0,2,1,1.0,0,0,13.0,2,5,1
135,0,2,1,1.0,0,0,15.0458,0,5,1
136,1,1,0,1.0,0,2,26.2833,2,5,3
137,0,1,1,2.0,1,0,53.1,2,0,2
138,0,3,1,0.0,0,0,9.2167,2,5,1
139,0,1,1,1.0,0,0,79.2,0,5,1
140,0,3,0,1.0,0,2,15.2458,0,5,3
141,1,3,0,1.0,0,0,7.75,2,5,1
142,1,3,0,1.0,1,0,15.85,2,5,2
143,0,3,1,1.0,0,0,6.75,1,5,1
144,0,2,1,1.0,0,0,11.5,2,5,1
145,0,2,1,1.0,1,1,36.75,2,5,3
146,1,3,1,1.0,0,0,7.7958,2,5,1
147,0,3,0,0.0,2,2,34.375,2,4,5
148,0,2,1,2.0,0,2,26.0,2,0,3
149,0,2,1,2.0,0,0,13.0,2,0,1
150,0,2,1,3.0,0,0,12.525,2,0,1
151,1,1,0,1.0,1,0,66.6,2,5,2
152,0,3,1,3.0,0,0,8.05,2,0,1
153,0,3,1,2.0,0,2,14.5,2,0,3
154,0,3,1,1.0,0,0,7.3125,2,5,1
155,0,1,1,3.0,0,1,61.3792,0,0,2
156,1,3,0,0.0,0,0,7.7333,1,5,1
157,0,3,1,1.0,0,0,8.05,2,5,1
158,0,3,1,1.0,0,0,8.6625,2,5,1
159,0,3,1,1.0,8,2,69.55,2,5,11
160,0,3,1,2.0,0,1,16.1,2,0,2
161,1,2,0,2.0,0,0,15.75,2,0,1
162,0,3,1,1.0,0,0,7.775,2,5,1
163,0,3,1,1.0,0,0,8.6625,2,5,1
164,0,3,1,0.0,4,1,39.6875,2,1,6
165,1,3,1,0.0,0,2,20.525,2,4,3
166,1,1,0,1.0,0,1,55.0,2,5,2
167,0,3,0,2.0,1,4,27.9,2,0,6
168,0,1,1,1.0,0,0,25.925,2,5,1
169,0,3,1,1.0,0,0,56.4958,2,5,1
170,0,1,1,3.0,0,0,33.5,2,3,1
171,0,3,1,0.0,4,1,29.125,1,2,6
172,1,3,0,0.0,1,1,11.1333,2,1,3
173,0,3,1,1.0,0,0,7.925,2,5,1
174,0,1,1,3.0,0,0,30.6958,0,0,1
175,0,3,1,1.0,1,1,7.8542,2,5,3
176,0,3,1,1.0,3,1,25.4667,2,5,5
177,0,1,0,3.0,0,0,28.7125,0,0,1
178,0,2,1,1.0,0,0,13.0,2,5,1
179,0,3,1,2.0,0,0,0.0,2,0,1
180,0,3,0,1.0,8,2,69.55,2,5,11
181,0,2,1,1.0,0,0,15.05,0,5,1
182,0,3,1,0.0,4,2,31.3875,2,4,7
183,1,2,1,0.0,2,1,39.0,2,1,4
184,1,3,0,0.0,0,2,22.025,2,2,3
185,0,1,1,1.0,0,0,50.0,2,5,1
186,1,3,0,1.0,1,0,15.5,1,5,2
187,1,1,1,2.0,0,0,26.55,2,0,1
188,0,3,1,2.0,1,1,15.5,1,0,3
189,0,3,1,2.0,0,0,7.8958,2,0,1
190,1,2,0,1.0,0,0,13.0,2,0,1
191,0,2,1,1.0,0,0,13.0,2,5,1
192,1,3,0,1.0,1,0,7.8542,2,5,2
193,1,2,1,0.0,1,1,26.0,2,1,3
194,1,1,0,2.0,0,0,27.7208,0,0,1
195,1,1,0,3.0,0,0,146.5208,0,0,1
196,0,3,1,1.0,0,0,7.75,1,5,1
197,0,3,1,2.0,0,1,8.4042,2,0,2
198,1,3,0,1.0,0,0,7.75,1,5,1
199,0,2,0,1.0,0,0,13.0,2,5,1
200,0,3,1,1.0,0,0,9.5,2,5,1
201,0,3,1,1.0,8,2,69.55,2,5,11
202,0,3,1,2.0,0,0,6.4958,2,0,1
203,0,3,1,2.0,0,0,7.225,0,0,1
204,1,3,1,1.0,0,0,8.05,2,5,1
205,0,3,0,0.0,0,1,10.4625,2,1,2
206,0,3,1,1.0,1,0,15.85,2,0,2
207,1,3,1,1.0,0,0,18.7875,0,5,1
208,1,3,0,0.0,0,0,7.75,1,5,1
209,1,1,1,2.0,0,0,31.0,0,0,1
210,0,3,1,1.0,0,0,7.05,2,5,1
211,1,2,0,2.0,0,0,21.0,2,0,1
212,0,3,1,1.0,0,0,7.25,2,5,1
213,0,2,1,1.0,0,0,13.0,2,5,1
214,0,3,1,1.0,1,0,7.75,1,5,2
215,1,1,0,1.0,1,0,113.275,0,0,2
216,1,3,0,1.0,0,0,7.925,2,5,1
217,0,2,1,2.0,1,0,27.0,2,0,2
218,1,1,0,1.0,0,0,76.2917,0,0,1
219,0,2,1,1.0,0,0,10.5,2,5,1
220,1,3,1,0.0,0,0,8.05,2,5,1
221,0,2,1,1.0,0,0,13.0,2,5,1
222,0,3,1,3.0,0,0,8.05,2,0,1
223,0,3,1,1.0,0,0,7.8958,2,5,1
224,1,1,1,2.0,1,0,90.0,2,0,2
225,0,3,1,1.0,0,0,9.35,2,5,1
226,1,2,1,1.0,0,0,10.5,2,5,1
227,0,3,1,1.0,0,0,7.25,2,5,1
228,0,2,1,1.0,0,0,13.0,2,5,1
229,0,3,0,1.0,3,1,25.4667,2,5,5
230,1,1,0,2.0,1,0,83.475,2,0,2
231,0,3,1,1.0,0,0,7.775,2,5,1
232,0,2,1,3.0,0,0,13.5,2,0,1
233,1,3,0,0.0,4,2,31.3875,2,2,7
234,0,2,1,1.0,0,0,10.5,2,5,1
235,0,3,0,1.0,0,0,7.55,2,5,1
236,0,2,1,2.0,1,0,26.0,2,0,2
237,1,2,0,0.0,0,2,26.25,2,4,3
238,0,2,1,1.0,0,0,10.5,2,5,1
239,0,2,1,2.0,0,0,12.275,2,0,1
240,0,3,0,1.0,1,0,14.4542,0,5,2
241,1,3,0,1.0,1,0,15.5,1,5,2
242,0,2,1,1.0,0,0,10.5,2,5,1
243,0,3,1,1.0,0,0,7.125,2,5,1
244,0,3,1,1.0,0,0,7.225,0,5,1
245,0,1,1,2.0,2,0,90.0,1,0,3
246,0,3,0,1.0,0,0,7.775,2,5,1
247,1,2,0,1.0,0,2,14.5,2,5,3
248,1,1,1,2.0,1,1,52.5542,2,0,3
249,0,2,1,3.0,1,0,26.0,2,0,2
250,0,3,1,1.0,0,0,7.25,2,5,1
251,0,3,0,1.0,1,1,10.4625,2,5,3
252,0,1,1,3.0,0,0,26.55,2,3,1
253,0,3,1,1.0,1,0,16.1,2,5,2
254,0,3,0,2.0,0,2,20.2125,2,0,3
255,1,3,0,1.0,0,2,15.2458,0,5,3
256,1,1,0,1.0,0,0,79.2,0,5,1
257,1,1,0,1.0,0,0,86.5,2,5,1
258,1,1,0,2.0,0,0,512.3292,0,0,1
259,1,2,0,3.0,0,1,26.0,2,0,2
260,0,3,1,1.0,0,0,7.75,1,5,1
261,1,3,1,0.0,4,2,31.3875,2,1,7
262,0,1,1,3.0,1,1,79.65,2,0,3
263,0,1,1,2.0,0,0,0.0,2,0,1
264,0,3,0,1.0,0,0,7.75,1,5,1
265,0,2,1,2.0,0,0,10.5,2,0,1
266,0,3,1,0.0,4,1,39.6875,2,5,6
267,1,3,1,1.0,1,0,7.775,2,5,2
268,1,1,0,3.0,0,1,153.4625,2,0,2
269,1,1,0,2.0,0,0,135.6333,2,0,1
270,0,1,1,1.0,0,0,31.0,2,5,1
271,1,3,1,1.0,0,0,0.0,2,5,1
272,1,2,0,2.0,0,1,19.5,2,0,2
273,0,1,1,2.0,0,1,29.7,0,0,2
274,1,3,0,1.0,0,0,7.75,1,5,1
275,1,1,0,3.0,1,0,77.9583,2,3,2
276,0,3,0,2.0,0,0,7.75,2,0,1
277,0,2,1,1.0,0,0,0.0,2,5,1
278,0,3,1,0.0,4,1,29.125,1,2,6
279,1,3,0,2.0,1,1,20.25,2,0,3
280,0,3,1,4.0,0,0,7.75,1,3,1
281,0,3,1,1.0,0,0,7.8542,2,5,1
282,0,3,1,0.0,0,0,9.5,2,5,1
283,1,3,1,1.0,0,0,8.05,2,5,1
284,0,1,1,1.0,0,0,26.0,2,5,1
285,0,3,1,2.0,0,0,8.6625,0,0,1
286,1,3,1,1.0,0,0,9.5,2,5,1
287,0,3,1,1.0,0,0,7.8958,2,5,1
288,1,2,1,2.0,0,0,13.0,2,0,1
289,1,3,0,1.0,0,0,7.75,1,5,1
290,1,1,0,1.0,0,0,78.85,2,5,1
291,1,1,0,1.0,1,0,91.0792,0,5,2
292,0,2,1,2.0,0,0,12.875,0,0,1
293,0,3,0,1.0,0,0,8.85,2,5,1
294,0,3,1,1.0,0,0,7.8958,2,5,1
295,0,1,1,1.0,0,0,27.7208,0,5,1
296,0,3,1,1.0,0,0,7.2292,0,5,1
297,0,1,0,0.0,1,2,151.55,2,1,4
298,1,1,1,1.0,0,0,30.5,2,5,1
299,1,1,0,3.0,0,1,247.5208,0,0,2
300,1,3,0,1.0,0,0,7.75,1,5,1
301,1,3,1,1.0,2,0,23.25,1,5,3
302,0,3,1,1.0,0,0,0.0,2,5,1
303,1,2,0,1.0,0,0,12.35,1,5,1
304,0,3,1,1.0,0,0,8.05,2,5,1
305,1,1,1,0.0,1,2,151.55,2,1,4
306,1,1,0,1.0,0,0,110.8833,0,5,1
307,1,1,0,1.0,1,0,108.9,0,5,2
308,0,2,1,1.0,1,0,24.0,0,5,2
309,1,1,0,1.0,0,0,56.9292,0,5,1
310,1,1,0,1.0,0,0,83.1583,0,5,1
311,1,1,0,1.0,2,2,262.375,0,5,5
312,0,2,0,1.0,1,1,26.0,2,5,3
313,0,3,1,1.0,0,0,7.8958,2,5,1
314,0,2,1,2.0,1,1,26.25,2,0,3
315,1,3,0,1.0,0,0,7.8542,2,5,1
316,1,2,0,1.0,1,0,26.0,2,5,2
317,0,2,1,3.0,0,0,14.0,2,0,1
318,1,1,0,1.0,0,2,164.8667,2,0,3
319,1,1,0,2.0,1,1,134.5,0,0,3
320,0,3,1,1.0,0,0,7.25,2,5,1
321,0,3,1,1.0,0,0,7.8958,2,5,1
322,1,2,0,1.0,0,0,12.35,1,5,1
323,1,2,0,1.0,1,1,29.0,2,5,3
324,0,3,1,1.0,8,2,69.55,2,5,11
325,1,1,0,2.0,0,0,135.6333,0,0,1
326,0,3,1,3.0,0,0,6.2375,2,3,1
327,1,2,0,2.0,0,0,13.0,2,0,1
328,1,3,0,1.0,1,1,20.525,2,0,3
329,1,1,0,0.0,0,1,57.9792,0,5,2
330,1,3,0,1.0,2,0,23.25,1,5,3
331,0,1,1,2.0,0,0,28.5,2,0,1
332,0,1,1,2.0,0,1,153.4625,2,0,2
333,0,3,1,0.0,2,0,18.0,2,5,3
334,1,1,0,1.0,1,0,133.65,2,5,2
335,0,3,1,1.0,0,0,7.8958,2,5,1
336,0,1,1,1.0,1,0,66.6,2,5,2
337,1,1,0,2.0,0,0,134.5,0,0,1
338,1,3,1,2.0,0,0,8.05,2,0,1
339,0,1,1,2.0,0,0,35.5,2,0,1
340,1,2,1,0.0,1,1,26.0,2,1,3
341,1,1,0,1.0,3,2,263.0,2,5,6
342,0,2,1,1.0,0,0,13.0,2,5,1
343,0,2,1,1.0,0,0,13.0,2,5,1
344,0,2,1,2.0,0,0,13.0,2,0,1
345,1,2,0,1.0,0,0,13.0,2,5,1
346,1,2,0,2.0,0,0,13.0,2,0,1
347,1,3,0,1.0,1,0,16.1,2,5,2
348,1,3,1,0.0,1,1,15.9,2,1,3
349,0,3,1,2.0,0,0,8.6625,2,0,1
350,0,3,1,1.0,0,0,9.225,2,5,1
351,0,1,1,1.0,0,0,35.0,2,5,1
352,0,3,1,0.0,1,1,7.2292,0,4,3
353,0,3,1,1.0,1,0,17.8,2,5,2
354,0,3,1,1.0,0,0,7.225,0,5,1
355,0,3,1,1.0,0,0,9.5,2,5,1
356,1,1,0,1.0,0,1,55.0,2,5,2
357,0,2,0,2.0,0,0,13.0,2,0,1
358,1,3,0,1.0,0,0,7.8792,1,5,1
359,1,3,0,1.0,0,0,7.8792,1,5,1
360,0,3,1,2.0,1,4,27.9,2,0,6
361,0,2,1,1.0,1,0,27.7208,0,5,2
362,0,3,0,2.0,0,1,14.4542,0,0,2
363,0,3,1,2.0,0,0,7.05,2,0,1
364,0,3,1,1.0,1,0,15.5,1,5,2
365,0,3,1,1.0,0,0,7.25,2,5,1
366,1,1,0,3.0,1,0,75.25,0,0,2
367,1,3,0,1.0,0,0,7.2292,0,5,1
368,1,3,0,1.0,0,0,7.75,1,5,1
369,1,1,0,1.0,0,0,69.3,0,5,1
370,1,1,1,1.0,1,0,55.4417,0,5,2
371,0,3,1,1.0,1,0,6.4958,2,5,2
372,0,3,1,1.0,0,0,8.05,2,5,1
373,0,1,1,1.0,0,0,135.6333,0,5,1
374,0,3,0,0.0,3,1,21.075,2,1,5
375,1,1,0,1.0,1,0,82.1708,0,5,2
376,1,3,0,1.0,0,0,7.25,2,5,1
377,0,1,1,1.0,0,2,211.5,0,5,3
378,0,3,1,1.0,0,0,4.0125,0,5,1
379,0,3,1,1.0,0,0,7.775,2,5,1
380,1,1,0,2.0,0,0,227.525,0,0,1
381,1,3,0,0.0,0,2,15.7417,0,1,3
382,0,3,1,1.0,0,0,7.925,2,0,1
383,1,1,0,2.0,1,0,52.0,2,0,2
384,0,3,1,1.0,0,0,7.8958,2,5,1
385,0,2,1,1.0,0,0,73.5,2,5,1
386,0,3,1,0.0,5,2,46.9,2,1,8
387,1,2,0,2.0,0,0,13.0,2,0,1
388,0,3,1,1.0,0,0,7.7292,1,5,1
389,1,2,0,1.0,0,0,12.0,0,5,1
390,1,1,1,2.0,1,2,120.0,2,0,4
391,1,3,1,1.0,0,0,7.7958,2,5,1
392,0,3,1,1.0,2,0,7.925,2,5,3
393,1,1,0,1.0,1,0,113.275,0,5,2
394,1,3,0,1.0,0,2,16.7,2,5,3
395,0,3,1,1.0,0,0,7.7958,2,5,1
396,0,3,0,1.0,0,0,7.8542,2,0,1
397,0,2,1,2.0,0,0,26.0,2,0,1
398,0,2,1,1.0,0,0,10.5,2,5,1
399,1,2,0,1.0,0,0,12.65,2,5,1
400,1,3,1,2.0,0,0,7.925,2,0,1
401,0,3,1,1.0,0,0,8.05,2,5,1
402,0,3,0,1.0,1,0,9.825,2,5,2
403,0,3,1,1.0,1,0,15.85,2,5,2
404,0,3,0,1.0,0,0,8.6625,2,5,1
405,0,2,1,2.0,1,0,21.0,2,0,2
406,0,3,1,3.0,0,0,7.75,2,0,1
407,1,2,1,0.0,1,1,18.75,2,1,3
408,0,3,1,1.0,0,0,7.775,2,5,1
409,0,3,0,1.0,3,1,25.4667,2,5,5
410,0,3,1,1.0,0,0,7.8958,2,5,1
411,0,3,1,1.0,0,0,6.8583,1,5,1
412,1,1,0,2.0,1,0,90.0,1,0,2
413,0,2,1,1.0,0,0,0.0,2,5,1
414,1,3,1,2.0,0,0,7.925,2,0,1
415,0,3,0,1.0,0,0,8.05,2,5,1
416,1,2,0,2.0,1,1,32.5,2,0,3
417,1,2,0,1.0,0,2,13.0,2,5,3
418,0,2,1,1.0,0,0,13.0,2,5,1
419,0,3,0,0.0,0,2,24.15,2,4,3
420,0,3,1,1.0,0,0,7.8958,0,5,1
421,0,3,1,1.0,0,0,7.7333,1,5,1
422,0,3,1,1.0,0,0,7.875,2,5,1
423,0,3,0,1.0,1,1,14.4,2,5,3
424,0,3,1,1.0,1,1,20.2125,2,5,3
425,0,3,1,1.0,0,0,7.25,2,5,1
426,1,2,0,1.0,1,0,26.0,2,5,2
427,1,2,0,1.0,0,0,26.0,2,5,1
428,0,3,1,1.0,0,0,7.75,1,5,1
429,1,3,1,1.0,0,0,8.05,2,0,1
430,1,1,1,1.0,0,0,26.55,2,5,1
431,1,3,0,1.0,1,0,16.1,2,5,2
432,1,2,0,2.0,1,0,26.0,2,0,2
433,0,3,1,1.0,0,0,7.125,2,5,1
434,0,1,1,3.0,1,0,55.9,2,0,2
435,1,1,0,0.0,1,2,120.0,2,4,4
436,0,3,0,1.0,2,2,34.375,2,5,5
437,1,2,0,1.0,2,3,18.75,2,5,6
438,0,1,1,3.0,1,4,263.0,2,3,6
439,0,2,1,1.0,0,0,10.5,2,0,1
440,1,2,0,2.0,1,1,26.25,2,0,3
441,0,3,1,1.0,0,0,9.5,2,5,1
442,0,3,1,1.0,1,0,7.775,2,5,2
443,1,2,0,1.0,0,0,13.0,2,5,1
444,1,3,1,1.0,0,0,8.1125,2,5,1
445,1,1,1,0.0,0,2,81.8583,2,2,3
446,1,2,0,0.0,0,1,19.5,2,4,2
447,1,1,1,2.0,0,0,26.55,2,0,1
448,1,3,0,0.0,2,1,19.2583,0,2,4
449,1,1,1,3.0,0,0,30.5,2,0,1
450,0,2,1,2.0,1,2,27.75,2,0,4
451,0,3,1,1.0,1,0,19.9667,2,5,2
452,0,1,1,1.0,0,0,27.75,0,5,1
